opportunity_id,recommended_scenario,rationale,escalation_required,expected_margin
OPP-2084,C,No compliant scenarios available. Recommending highest margin option. Requires escalation.,True,0.44293856180596347
OPP-2085,C,Maximizes lifetime gross profit while remaining compliant.,False,0.401162112060295
OPP-2086,C,Maximizes lifetime gross profit while remaining compliant.,False,0.5608626589890556
OPP-2087,C,No compliant scenarios available. Recommending highest margin option. Requires escalation.,True,0.3364741837197015
OPP-2088,C,Maximizes lifetime gross profit while remaining compliant.,False,0.49438223309922086
OPP-2089,C,Maximizes lifetime gross profit while remaining compliant.,False,0.4668364784490087
OPP-2090,C,Maximizes lifetime gross profit while remaining compliant.,False,0.45702439071471157
OPP-2091,C,Maximizes lifetime gross profit while remaining compliant.,False,0.4102239044963988
OPP-2092,C,Maximizes lifetime gross profit while remaining compliant.,False,0.38317607655086905
OPP-2093,C,Maximizes lifetime gross profit while remaining compliant.,False,0.39293683083400077
OPP-2094,C,Maximizes lifetime gross profit while remaining compliant.,False,0.5355534247331316
OPP-2095,C,Maximizes lifetime gross profit while remaining compliant.,False,0.4739004992898468
OPP-2096,C,Maximizes lifetime gross profit while remaining compliant.,False,0.4127376771439286
OPP-2097,C,Maximizes lifetime gross profit while remaining compliant.,False,0.5108184333126634
OPP-2098,C,No compliant scenarios available. Recommending highest margin option. Requires escalation.,True,0.330692691911445
OPP-2099,C,Maximizes lifetime gross profit while remaining compliant.,False,0.41830822017558816
